Reading No,Time,Type,Duration,Units,Sequence,Res,EScale,Shape Time,SAMPLE,LOCATION,INSPECTOR,MISC,NOTE,Flags,Mo,Mo Error,Mo CPS/ua,Zr,Zr Error,Zr CPS/ua,Sr,Sr Error,Sr CPS/ua,U,U Error,U CPS/ua,Rb,Rb Error,Rb CPS/ua,Th,Th Error,Th CPS/ua,Pb,Pb Error,Pb CPS/ua,Au,Au Error,Au CPS/ua,Se,Se Error,Se CPS/ua,As,As Error,As CPS/ua,Hg,Hg Error,Hg CPS/ua,Zn,Zn Error,Zn CPS/ua,W,W Error,W CPS/ua,Cu,Cu Error,Cu CPS/ua,Ni,Ni Error,Ni CPS/ua,Co,Co Error,Co CPS/ua,Fe,Fe Error,Fe CPS/ua,Mn,Mn Error,Mn CPS/ua,Cr,Cr Error,Cr CPS/ua,V,V Error,V CPS/ua,Ti,Ti Error,Ti CPS/ua,Sc,Sc Error,Sc CPS/ua,Ca,Ca Error,Ca CPS/ua,K,K Error,K CPS/ua,S,S Error,S CPS/ua,Ba,Ba Error,Ba CPS/ua,Cs,Cs Error,Cs CPS/ua,Te,Te Error,Te CPS/ua,Sb,Sb Error,Sb CPS/ua,Sn,Sn Error,Sn CPS/ua,Cd,Cd Error,Cd CPS/ua,Ag,Ag Error,Ag CPS/ua,Pd,Pd Error,Pd CPS/ua,Bal,Bal Error,Bal CPS/ua,Nb,Nb Error,Nb CPS/ua,Bi,Bi Error,Bi CPS/ua,Re,Re Error,Re CPS/ua,Ta,Ta Error,Ta CPS/ua,Hf,Hf Error,Hf CPS/ua,Al,Al Error,Al CPS/ua,P,P Error,P CPS/ua,Si,Si Error,Si CPS/ua,Cl,Cl Error,Cl CPS/ua,Mg,Mg Error,Mg CPS/ua
73,10/8/2016 13:38,TestAll Geo,180,ppm,Final,,,,,,,,,-8mm ,57.1,2.35,0,102.75,3.54,0,56.17,2.54,0,38.44,5.62,0,76.46,2.7,0,4.96,3.08,0,60,6.27,0,<LOD,4.9,0,14.35,2.71,0,82.76,6.12,0,<LOD,8.96,0,22.99,6.79,0,<LOD,40.72,0,117.24,15.21,0,208.19,21.29,0,163.66,96.91,0,40288.35,360.45,0,210.5,45.8,0,156.31,25.28,0,466.7,25.15,0,2070.59,61.47,0,45.43,27.34,0,24618.43,590.4,0,28408.12,394.23,0,48019.13,330.77,0,440.3,28.76,0,77.81,6.26,0,140.02,19.08,0,64.35,9.57,0,38.72,6.17,0,18.01,7.02,0,10.07,4.57,0,<LOD,8.98,0,554292.31,2108.26,0,12.01,1.9,0,<LOD,6.77,0,<LOD,1.5,0,<LOD,1.5,0,<LOD,1.5,0,45825.6,862.85,0,862.38,145.73,0,240390.11,1189.25,0,2421.85,36.76,0,10991.4,2143.78,0
74,10/8/2016 13:45,TestAll Geo,180,ppm,Final,,,,,,,,,-8mm ,212.79,4.63,0,127.73,3.76,0,63.13,2.61,0,47.24,6.09,0,106.03,3.08,0,7.69,3.01,0,19.03,4.45,0,<LOD,4.68,0,17.84,2.72,0,29.32,3.93,0,<LOD,8.87,0,23.72,6.55,0,<LOD,39.59,0,109.38,14.23,0,269.62,21.21,0,213.16,84.87,0,32804.92,312.4,0,190.34,43.91,0,123.26,14.87,0,1426.64,41.6,0,3463.72,88.81,0,<LOD,40.63,0,15528.12,486.1,0,35795.29,427.09,0,32611.37,243.58,0,383.36,24.12,0,51.71,5.19,0,88.49,15.71,0,43.15,7.87,0,22.41,5.01,0,<LOD,8.67,0,<LOD,5.49,0,<LOD,7.32,0,478959.84,2357.86,0,16.23,1.92,0,<LOD,9.37,0,<LOD,1.5,0,<LOD,1.5,0,<LOD,1.5,0,76402.48,1097.51,0,1636.31,149.64,0,304590.53,1322.64,0,2886.99,37.69,0,13203.32,1940.96,0
75,10/8/2016 13:51,TestAll Geo,180,ppm,Final,,,,,,,,,-8mm ,60.35,3.2,0,154.91,4.05,0,80.95,2.89,0,30,5.54,0,95.55,2.92,0,7.83,2.91,0,11.84,3.89,0,<LOD,4.27,0,7.38,2.29,0,28.36,3.66,0,<LOD,8.51,0,21.39,6.42,0,<LOD,37.81,0,84.67,13.81,0,151.29,19.43,0,115.33,71.25,0,24143.25,265.84,0,147.46,40.4,0,64.89,9.04,0,539.45,23.02,0,2405.25,56.2,0,41.35,23.62,0,26171.12,558.35,0,32690.55,392.18,0,21837.7,192.21,0,374.01,27.42,0,53.45,5.93,0,113.09,18.2,0,43.6,9.01,0,44.79,6.07,0,17.24,6.79,0,11.43,4.46,0,<LOD,8.42,0,572569.88,2010.78,0,15.33,1.91,0,<LOD,9.51,0,<LOD,1.5,0,<LOD,1.5,0,<LOD,1.5,0,50042.47,867.08,0,1517.45,147.49,0,253769.19,1251.48,0,4832.72,50.87,0,8056.16,1801.18,0
76,10/8/2016 14:15,TestAll Geo,180,ppm,Final,,,,,,,,,-8mm ,140.53,4.05,0,116.59,3.75,0,98.05,3.2,0,28.38,5.65,0,97.81,3,0,6.89,2.91,0,13.68,4.15,0,<LOD,4.52,0,13.83,2.61,0,17.78,3.46,0,<LOD,9.27,0,21.5,6.71,0,<LOD,42.04,0,125.54,15.23,0,259.95,21.58,0,181.22,66.36,0,19558.89,242.44,0,255.3,45.51,0,91.21,10.23,0,1151.43,29.37,0,2308.54,60.12,0,60.68,25.06,0,28525.09,570.02,0,33492.33,392.95,0,20472.05,182.62,0,564.25,28.24,0,93.38,6.02,0,135.38,18.07,0,51.59,8.91,0,29.35,5.71,0,14.6,6.59,0,<LOD,6.28,0,<LOD,8.53,0,528799.06,2225,0,18.43,1.98,0,<LOD,7.78,0,<LOD,1.5,0,<LOD,1.5,0,<LOD,1.5,0,69256.53,1029.07,0,3913.42,157.38,0,277073.91,1304.72,0,1699.98,32.18,0,11621.96,1801.81,0
77,10/8/2016 18:17,System Check,43.95,cps,Final,168.82,7.21,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,10/8/2016 18:18,System Check,43.71,cps,Final,157.2,7.21,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,10/8/2016 18:22,TestAll Geo,180,ppm,Final,,,,,,,,,-8mm ,2.73,1.6,0,165.05,4.36,0,195.16,4.32,0,26.94,6,0,123.79,3.33,0,10.8,3.09,0,6.34,3.59,0,<LOD,4.43,0,5.27,2.21,0,8.16,2.79,0,<LOD,8.68,0,31.78,6.77,0,<LOD,37.53,0,21.93,11.31,0,116.05,18.09,0,<LOD,95.07,0,19249.01,237.24,0,253.4,44.56,0,105.47,13.41,0,976.27,36.05,0,3966.9,86.68,0,140.92,50.15,0,57094.38,775.27,0,31215.36,378,0,5992.5,93.43,0,576.92,24.82,0,81.47,5.21,0,99.12,15.47,0,40.25,7.67,0,22.12,4.91,0,12.61,5.74,0,6.09,3.71,0,<LOD,7.35,0,559992.38,2059.74,0,18.77,1.93,0,<LOD,8.09,0,<LOD,1.5,0,<LOD,1.5,0,<LOD,1.5,0,55579.43,895.23,0,2810.24,145.24,0,252690.22,1256.11,0,1336.63,28.75,0,8601.93,1634.73,0
80,10/8/2016 18:28,TestAll Geo,180,ppm,Final,,,,,,,,,-8mm ,11.06,2.54,0,137.64,4.16,0,240.27,4.75,0,15.2,5.29,0,90.77,2.86,0,9.04,2.97,0,11.75,3.91,0,<LOD,4.52,0,8.27,2.35,0,9.74,3.03,0,<LOD,8.66,0,668.88,19.89,0,<LOD,39.56,0,110.11,14.05,0,139.85,18.78,0,145.91,66.69,0,20588.38,244.62,0,306.22,45.64,0,132.38,20.11,0,539.8,25.43,0,2511.22,63.44,0,102.55,45.76,0,64019.48,763.6,0,23218.81,303.54,0,7101.12,96.18,0,478.46,25.02,0,66.67,5.31,0,99.68,15.99,0,29.65,7.81,0,18.12,5.02,0,12.74,5.93,0,7.63,3.86,0,<LOD,7.62,0,637165.69,1751.5,0,14.74,1.87,0,<LOD,7.68,0,<LOD,1.5,0,<LOD,1.5,0,<LOD,1.5,0,35489.98,665.25,0,2709.41,127.08,0,196988.94,1068.48,0,748.54,23.27,0,7113.2,1459.41,0
81,10/8/2016 18:33,TestAll Geo,180,ppm,Final,,,,,,,,,-8mm ,68.15,3.21,0,130.28,3.93,0,172.86,4.03,0,18.36,5.36,0,98.01,2.93,0,8.36,2.94,0,17.08,4.21,0,<LOD,4.58,0,12.1,2.47,0,14.82,3.36,0,<LOD,8.65,0,273.52,13.22,0,<LOD,38.09,0,129.39,14.42,0,222.48,19.99,0,189.61,71.4,0,23990.25,262.06,0,196.73,42.45,0,80.56,12.51,0,1080.56,34.13,0,2911.98,74.91,0,108.59,44.06,0,49458.43,704.56,0,25323.78,329.94,0,9629.19,109.93,0,413.06,23.76,0,58.81,5.1,0,79.01,15.26,0,34.54,7.6,0,17.65,4.83,0,9.93,5.68,0,<LOD,5.44,0,<LOD,7.13,0,637748.31,1737.2,0,13.5,1.84,0,<LOD,7.71,0,<LOD,1.5,0,<LOD,1.5,0,<LOD,1.5,0,37536.23,670.23,0,2698.55,124.67,0,199964.59,1068.77,0,737.96,22.75,0,7819.9,1441.54,0
82,10/8/2016 18:55,TestAll Geo,180,ppm,Final,,,,,,,,,-8mm ,6.05,2.45,0,146.39,4.26,0,256.3,4.89,0,<LOD,7.45,0,84.3,2.75,0,9.59,2.96,0,10.49,3.75,0,<LOD,4.28,0,3.23,2.1,0,7.32,2.87,0,<LOD,8.33,0,23.6,6.41,0,<LOD,36.4,0,49.44,12.19,0,72.71,17.44,0,159.66,62.5,0,17896.93,228.17,0,336.07,45.88,0,68.38,11.11,0,489.2,26.83,0,2774.34,69.98,0,198.62,58.53,0,88080.73,927.6,0,23803.96,322.92,0,4469.65,85.56,0,451,25.05,0,66.12,5.36,0,101.95,16.16,0,32.99,7.92,0,22.68,5.13,0,14.39,6.01,0,8.38,3.91,0,10.24,5.27,0,601020.19,1863.6,0,13.31,1.84,0,8.5,5.08,0,<LOD,1.5,0,<LOD,1.5,0,<LOD,1.5,0,37619.31,749.49,0,2147.15,138.92,0,212220.84,1137.33,0,1251.79,28.52,0,7269.35,1659.33,0
83,10/8/2016 19:02,TestAll Geo,180,ppm,Final,,,,,,,,,-8mm ,20.67,1.82,0,112.83,3.76,0,170.78,4.02,0,22.27,5.41,0,94.42,2.9,0,7.44,2.91,0,18.6,4.26,0,<LOD,4.42,0,9.2,2.36,0,17.42,3.49,0,<LOD,8.65,0,80.1,8.52,0,<LOD,38.3,0,84.41,13.35,0,152.82,18.99,0,162.29,71.29,0,24018.76,264.02,0,231.64,43.35,0,99.03,21.49,0,629.22,26.02,0,2205.29,60.82,0,99.86,38.13,0,46233.65,677.96,0,21676.31,304.94,0,9401.62,109.53,0,408.92,24.84,0,62.49,5.35,0,92.88,16.11,0,31.32,7.92,0,20.39,5.1,0,11.76,5.98,0,<LOD,5.78,0,<LOD,7.56,0,647855.75,1697.82,0,13.44,1.85,0,<LOD,10.42,0,<LOD,1.5,0,<LOD,1.5,0,<LOD,1.5,0,31016.06,606.8,0,2467.22,125.34,0,207603.16,1118.18,0,689.27,22.81,0,5257.25,1372.94,0
84,10/8/2016 19:06,TestAll Geo,180,ppm,Final,,,,,,,,,-8mm ,325.31,5.6,0,74.03,2.72,0,118.21,3.5,0,102.03,7.19,0,92.49,2.93,0,6.23,3.07,0,37.1,5.4,0,<LOD,5,0,18.92,2.85,0,47.06,4.91,0,<LOD,9.91,0,3117.54,42.63,0,<LOD,48.55,0,106.05,14.6,0,296.18,22.13,0,221.5,88.75,0,33277.14,316.55,0,201.42,45.39,0,98.47,14.96,0,890.2,37.1,0,2825.51,84.59,0,<LOD,37.18,0,10116.63,391.09,0,22410.93,336.29,0,25848.46,202.8,0,371.47,23.11,0,49.5,4.97,0,63.73,14.85,0,23.22,7.38,0,11.52,4.67,0,33.6,5.97,0,<LOD,5.3,0,<LOD,7.2,0,564376.31,1996.12,0,21.4,2.05,0,<LOD,7.51,0,<LOD,1.5,0,<LOD,1.5,0,<LOD,1.5,0,37636.42,652.33,0,2437.95,132.19,0,289266,1356.49,0,1155.97,23.77,0,5687.85,1469.56,0
85,10/8/2016 19:35,TestAll Geo,180,ppm,Final,,,,,,,,,-8mm ,131.79,3.97,0,138.38,4.02,0,115.63,3.44,0,25.07,5.52,0,93.14,2.93,0,11,3.13,0,19.55,4.58,0,<LOD,4.86,0,22.66,2.95,0,32.42,4.09,0,<LOD,8.66,0,26.76,6.77,0,<LOD,40.52,0,107.64,14.72,0,293.87,22.02,0,170.5,70.9,0,22448.41,259.78,0,186.63,43.55,0,102.54,12.57,0,1894.61,38.57,0,2577.39,72.75,0,<LOD,50.57,0,42162.66,678,0,30528.8,374.5,0,16677,162.32,0,586,28.56,0,98.76,6.1,0,154.75,18.4,0,71.61,9.24,0,36.87,5.88,0,19.53,6.74,0,13.03,4.46,0,<LOD,8.61,0,571239.38,2045.95,0,14.43,1.92,0,8.49,5.31,0,<LOD,1.5,0,<LOD,1.5,0,<LOD,1.5,0,49684.67,865.52,0,2769.25,149.9,0,247542.44,1258.26,0,806.29,27.21,0,9655.13,1785.52,0
86,10/8/2016 19:40,TestAll Geo,180,ppm,Final,,,,,,,,,-8mm ,273.1,5.18,0,85.47,2.91,0,137.58,3.76,0,33.7,5.86,0,94.99,2.98,0,10.19,3.19,0,25.36,4.91,0,<LOD,4.73,0,20.78,2.89,0,35.17,4.36,0,<LOD,9.2,0,50.61,7.82,0,<LOD,40.53,0,113.07,15.02,0,244.56,21.62,0,140.27,81.66,0,29352.08,302.57,0,243.37,46.31,0,167.75,25.6,0,1346.97,36.08,0,2441.78,73.3,0,75.25,40.01,0,51884.29,781.28,0,30130.04,389.3,0,24224.55,206.21,0,544.34,28.79,0,87.04,6.15,0,138.14,18.56,0,70.51,9.39,0,39.38,6.02,0,20.89,6.89,0,10.4,4.46,0,<LOD,8.75,0,552691.69,2113.98,0,16,1.97,0,<LOD,12.23,0,<LOD,1.5,0,<LOD,1.5,0,<LOD,1.5,0,52890.3,931.24,0,1285.79,146.84,0,240948.72,1222.06,0,782.97,27.68,0,10071.4,1977.83,0
87,10/8/2016 19:46,TestAll Geo,180,ppm,Final,,,,,,,,,-8mm ,264.7,5.09,0,100.19,3.75,0,174.58,4.19,0,25.4,5.57,0,88.05,2.87,0,6.24,2.94,0,19.3,4.56,0,<LOD,4.77,0,18.73,2.83,0,26.31,3.94,0,<LOD,8.94,0,25.31,6.85,0,<LOD,40.47,0,112.7,15.03,0,204.59,20.88,0,<LOD,103.82,0,21694.13,257.33,0,194.08,43.84,0,83.89,11.16,0,1341.35,32.77,0,1996.07,63.74,0,108.96,35.25,0,50459.53,755.96,0,28765.54,375.02,0,17008.07,167.59,0,551.92,30.09,0,92.03,6.45,0,177.59,19.81,0,74.2,9.87,0,43.92,6.36,0,28.39,7.35,0,13.75,4.76,0,<LOD,9.1,0,582239.31,2010.5,0,12.69,1.92,0,<LOD,8.54,0,<LOD,1.5,0,<LOD,1.5,0,<LOD,1.5,0,45125.25,839.95,0,717.9,143.04,0,238835.44,1248.29,0,1018.21,29.35,0,8678.19,1815.9,0
88,10/8/2016 19:53,TestAll Geo,180,ppm,Final,,,,,,,,,-8mm ,123.59,3.81,0,140.41,3.92,0,111,3.28,0,35.79,5.84,0,110.23,3.09,0,9.59,3.06,0,29.3,4.8,0,<LOD,4.42,0,12.19,2.45,0,27.9,4.06,0,<LOD,8.25,0,31.51,6.68,0,<LOD,37.59,0,117.9,14.03,0,235.87,20.14,0,229.76,75.17,0,26358.37,274.23,0,193.62,42.51,0,134.54,15.58,0,1702.85,44.79,0,3867.84,94.49,0,<LOD,58.08,0,31803.02,606.82,0,33499.81,395.22,0,20280.25,175.77,0,410.08,23.65,0,56.66,5.08,0,98.13,15.39,0,53.27,7.79,0,30.97,5,0,16.48,5.78,0,6.18,3.68,0,<LOD,7.23,0,491372.91,2235.39,0,15.33,1.87,0,<LOD,7.94,0,<LOD,1.5,0,<LOD,1.5,0,<LOD,1.5,0,67542.98,1000.05,0,1626.37,148.68,0,309871.84,1340.16,0,716.89,24.87,0,10963.62,1782.91,0
89,10/8/2016 19:57,TestAll Geo,180,ppm,Final,,,,,,,,,-8mm ,232.71,4.9,0,123.33,3.84,0,80.71,2.97,0,40.22,6.07,0,100.99,3.07,0,5,3.11,0,43.16,5.66,0,<LOD,5.09,0,16,2.8,0,47.44,5.07,0,<LOD,9.16,0,31.89,7.18,0,<LOD,41.23,0,109.61,15.01,0,233.35,21.8,0,278.51,100.51,0,42052.99,368.09,0,228.07,47.44,0,93.4,13.51,0,1227.88,37.61,0,2778.08,79.35,0,50.81,31.25,0,27086.28,630.03,0,31160.5,419.45,0,36726.75,272.05,0,490.38,28.35,0,76.1,6.08,0,109.58,18.2,0,64.58,9.28,0,39.62,6,0,12.22,6.7,0,7.78,4.37,0,<LOD,8.55,0,499336.59,2288.82,0,15.16,1.95,0,<LOD,7,0,<LOD,1.5,0,<LOD,1.5,0,<LOD,1.5,0,62802.98,1033.87,0,1400.63,154.39,0,280625.25,1288.77,0,959.77,28.67,0,12121.7,2136.51,0
90,10/8/2016 20:01,TestAll Geo,180,ppm,Final,,,,,,,,,-8mm ,251.98,5,0,125.44,3.79,0,63.64,2.65,0,49.1,6.19,0,105.33,3.11,0,8.9,3.12,0,28.56,4.99,0,<LOD,4.75,0,19.44,2.83,0,32.53,4.32,0,<LOD,8.72,0,29.31,6.88,0,<LOD,39.55,0,102.1,14.64,0,246.97,21.45,0,125.21,80.73,0,29583.77,298.87,0,187.2,44.01,0,107.08,11.77,0,1356.18,33.71,0,2415.68,67.33,0,32.8,19.88,0,14729.18,459.74,0,29441.8,383.69,0,25674.38,209.01,0,577.99,29.5,0,95.47,6.3,0,152.1,19.02,0,71.47,9.56,0,37.9,6.1,0,19.04,6.97,0,13.58,4.62,0,<LOD,8.71,0,595067.44,1961.31,0,16.72,1.98,0,<LOD,11.2,0,<LOD,1.5,0,<LOD,1.5,0,<LOD,1.5,0,43920.81,767.71,0,1145.35,134.54,0,244478.19,1241.24,0,987.58,27.16,0,9197.36,1681.14,0
91,10/8/2016 20:05,TestAll Geo,180,ppm,Final,,,,,,,,,-8mm ,257.16,4.9,0,77.92,2.62,0,66.28,2.64,0,40.65,5.84,0,101.74,2.99,0,5.99,2.93,0,30.69,5.02,0,<LOD,4.85,0,24.99,2.96,0,36.22,4.38,0,<LOD,8.67,0,37.27,7.06,0,<LOD,38.79,0,119.41,14.61,0,238.38,20.72,0,120.49,78.6,0,29363.9,290.81,0,120.73,40.64,0,106.8,12.97,0,1707.32,38.4,0,2439.24,72.93,0,<LOD,30.84,0,13803.62,454.45,0,29728.3,387.76,0,24814.06,202.46,0,377.4,26.81,0,55.87,5.81,0,102.26,17.66,0,62.32,9.05,0,59.79,6.14,0,23.51,6.76,0,12.71,4.39,0,<LOD,8.2,0,559631,2033,0,16.46,1.92,0,<LOD,7.53,0,<LOD,1.5,0,<LOD,1.5,0,<LOD,1.5,0,52084.35,842.33,0,1442.97,141.55,0,274746.47,1310.07,0,670.51,25.42,0,7722.1,1677.25,0
92,10/8/2016 20:10,TestAll Geo,180,ppm,Final,,,,,,,,,-8mm ,209.62,4.67,0,116.99,3.71,0,67.33,2.72,0,44.5,6.11,0,104.79,3.1,0,5.43,3,0,31.84,5.23,0,<LOD,5.11,0,28.08,3.16,0,33.9,4.46,0,<LOD,9.28,0,1691.82,31.49,0,<LOD,44.65,0,112.59,15.03,0,261.31,21.86,0,242.48,84.22,0,30494.47,302.18,0,156.13,43.56,0,111.28,13.2,0,1702.66,39.28,0,2603.17,76.43,0,<LOD,34.05,0,16644.75,490.68,0,30312.18,394.83,0,24773.94,206.31,0,481.28,28.01,0,75.57,6.02,0,145.65,18.43,0,77.54,9.44,0,45.62,6.05,0,48.19,7.33,0,13.79,4.51,0,<LOD,8.65,0,551503.88,2108.81,0,17.38,1.98,0,<LOD,6.81,0,<LOD,1.5,0,<LOD,1.5,0,<LOD,1.5,0,53160.63,879.78,0,1166.24,143.11,0,272936.66,1317.65,0,822.77,26.78,0,10192.15,1788.54,0
93,10/8/2016 20:14,TestAll Geo,180,ppm,Final,,,,,,,,,-8mm ,261.99,5.12,0,77.38,2.71,0,64.04,2.69,0,45.32,6.15,0,102.43,3.1,0,7.8,3.12,0,30.81,5.22,0,<LOD,4.89,0,25.58,3.09,0,31.67,4.42,0,<LOD,9.21,0,1280.15,27.82,0,<LOD,44.35,0,85.32,14.76,0,239.55,22.05,0,240.83,85.11,0,30745.37,308.1,0,102.76,41.01,0,98.61,11.59,0,1458.84,33.98,0,2106.6,65.12,0,<LOD,28.55,0,15422.64,490.59,0,30586.87,405.35,0,26386.18,219.78,0,113.65,26.35,0,<LOD,8.74,0,<LOD,26.66,0,24.44,9.09,0,227.69,14.24,0,17.94,7.09,0,10.74,4.59,0,<LOD,8.76,0,569012.25,2059.3,0,16.49,2,0,<LOD,9.18,0,<LOD,1.5,0,<LOD,1.5,0,<LOD,1.5,0,48485.23,850.82,0,963.84,145.71,0,263203.78,1313.43,0,929.84,28.97,0,6793.92,1792.36,0
94,10/8/2016 20:18,TestAll Geo,180,ppm,Final,,,,,,,,,-8mm ,230.21,5.05,0,80.75,2.84,0,74.4,2.96,0,53.99,6.58,0,101.31,3.17,0,<LOD,4.92,0,48.11,6.24,0,<LOD,5.49,0,33.63,3.5,0,47.65,5.39,0,<LOD,9.79,0,779.81,22.74,0,<LOD,45.43,0,119.46,16.22,0,263.54,23.5,0,253.09,115.64,0,50906.93,421.82,0,147.75,47.43,0,111.69,13.85,0,1442.75,38.99,0,2196.62,75.5,0,37.75,24.53,0,18168.63,568.52,0,29483.46,430.74,0,47551.23,333.23,0,273.67,29.1,0,37.65,6.4,0,99.42,19.7,0,61.64,10.12,0,96.39,7.39,0,29.55,7.69,0,9.44,4.81,0,<LOD,9.44,0,516936.38,2277.53,0,18.01,2.08,0,<LOD,7.33,0,<LOD,1.5,0,<LOD,1.5,0,<LOD,1.5,0,53099.38,972.31,0,3255.6,163.93,0,261318.09,1252.9,0,853.44,29,0,11679.41,2304.89,0
95,10/8/2016 20:23,TestAll Geo,180,ppm,Final,,,,,,,,,-8mm ,62.27,2.45,0,69.28,2.66,0,75.91,2.96,0,59.34,6.34,0,79.69,2.81,0,5.3,3.38,0,76.16,7.08,0,<LOD,5.12,0,18.93,2.96,0,94.71,6.79,0,<LOD,9.18,0,39.95,7.71,0,<LOD,41.53,0,154.49,16.56,0,192.08,22.02,0,270.57,128.47,0,62405.86,476.92,0,187.74,48.96,0,185.46,30.13,0,449.16,29.23,0,1943.15,70.91,0,<LOD,44.45,0,19151.97,607.26,0,28015.51,434.92,0,77735.57,480.45,0,299.69,27.75,0,44.4,6.08,0,73.52,18.34,0,57.51,9.48,0,62.33,6.53,0,10.58,6.89,0,10.54,4.58,0,<LOD,9.03,0,485216.53,2356.93,0,15.08,1.99,0,<LOD,7.3,0,<LOD,1.5,0,<LOD,1.5,0,<LOD,1.5,0,51596.8,1006.94,0,541.84,158.69,0,257001.72,1183.48,0,807.73,28.53,0,13720.48,2713.01,0
96,10/8/2016 20:31,TestAll Geo,180,ppm,Final,,,,,,,,,-8mm ,285.08,5.09,0,75.85,2.57,0,53.6,2.41,0,46.16,5.81,0,92.44,2.84,0,7.78,2.96,0,27.24,4.86,0,<LOD,4.68,0,24.69,2.94,0,33.58,4.22,0,<LOD,9.45,0,2314.5,35.72,0,<LOD,45.36,0,83.97,13.96,0,241.6,20.91,0,134.59,76.63,0,27389.38,276.63,0,93.7,39.52,0,122.35,12.52,0,1550.31,35.95,0,2245.11,68.93,0,35.27,18.08,0,11054.69,411.44,0,27797.23,372.29,0,22630.5,192.26,0,237.14,25.75,0,34.82,5.69,0,62.2,17.21,0,51.35,8.95,0,61.58,6.16,0,39.84,7.07,0,7.35,4.25,0,<LOD,8.2,0,555236.19,2013.64,0,14.87,1.9,0,<LOD,7.56,0,<LOD,1.5,0,<LOD,1.5,0,<LOD,1.5,0,47453.25,804.29,0,1043.29,143.8,0,291312.38,1356.73,0,885.55,26.89,0,6990.24,1658.51,0
97,10/8/2016 20:36,TestAll Geo,180,ppm,Final,,,,,,,,,-8mm ,62.89,3.28,0,61.49,2.52,0,73.42,2.87,0,29.19,5.2,0,61.12,2.45,0,<LOD,4.42,0,36.13,5.28,0,<LOD,4.4,0,8.16,2.43,0,45.39,4.88,0,<LOD,8.97,0,15.81,6.53,0,<LOD,40.24,0,74.28,14.31,0,115.31,20.08,0,168.99,95.74,0,38850.76,356.46,0,141.66,43.29,0,152.47,24.46,0,314.79,19.38,0,1449.8,47.87,0,40.69,24.6,0,27899.54,593.31,0,21310.23,333.37,0,39758.02,295.45,0,262.48,28.63,0,44.88,6.35,0,97.97,19.45,0,45.73,9.77,0,67.97,6.9,0,23.54,7.47,0,8.42,4.72,0,<LOD,9.14,0,538020,2107.82,0,8.82,1.85,0,<LOD,6.56,0,<LOD,1.5,0,<LOD,1.5,0,<LOD,1.5,0,35365.44,764.88,0,487.22,154.32,0,286510.63,1341.2,0,916.4,28.82,0,7947.46,2043,0
98,10/8/2016 20:42,TestAll Geo,180,ppm,Final,,,,,,,,,-8mm ,327.69,5.26,0,84.54,2.61,0,55.08,2.37,0,61.21,5.87,0,86.5,2.69,0,5.26,2.76,0,29.46,4.7,0,<LOD,4.38,0,15,2.51,0,24.55,3.89,0,<LOD,8.36,0,182.87,10.98,0,<LOD,37.96,0,95.91,13.59,0,240.03,20.11,0,166.21,72.64,0,26442.21,266.64,0,73.88,37.06,0,95.94,11.37,0,1180.93,31.43,0,2153.96,63.39,0,<LOD,23.83,0,5906.75,111.5,0,24738.64,338.06,0,22251.65,187.78,0,170.49,24.6,0,21.03,5.47,0,59.88,16.74,0,36.58,8.49,0,66.93,6.07,0,16.87,6.46,0,9.25,4.17,0,<LOD,8.13,0,568095.56,1923.2,0,16.86,1.89,0,<LOD,8.54,0,<LOD,1.5,0,<LOD,1.5,0,<LOD,1.5,0,38069.35,703.72,0,943.38,141.11,0,295127.28,1355.77,0,999.16,26.62,0,9402.45,1618.45,0
99,10/8/2016 21:17,TestAll Geo,180,ppm,Final,,,,,,,,,-8mm ,253.06,4.56,0,74.23,2.39,0,53.51,2.25,0,49.04,5.22,0,72.88,2.38,0,4.01,2.54,0,25.77,4.38,0,<LOD,4.28,0,17.97,2.51,0,28.46,3.76,0,<LOD,7.94,0,243.11,11.85,0,<LOD,36.75,0,107.98,13.22,0,247.76,19.27,0,132.34,66.84,0,24334.71,245.9,0,74.3,35.49,0,106.69,12.78,0,1507.83,36.21,0,2051.91,68.7,0,<LOD,32.01,0,14158.77,421.84,0,22529.31,320.96,0,20945.72,177.03,0,142.43,22.91,0,14.72,5.1,0,32.47,15.44,0,21.99,7.79,0,51.32,5.5,0,14.37,6.02,0,<LOD,5.73,0,<LOD,7.45,0,543883.69,1888.24,0,14.69,1.77,0,<LOD,5.61,0,<LOD,1.5,0,<LOD,1.5,0,<LOD,1.5,0,36976.93,680.17,0,1124.11,145.32,0,324318.31,1387.51,0,1305.35,27.47,0,5382.01,1537.98,0
